ReactantOne,ReactantTwo,Product,Row,Column,Well
O=C(C1=CC(NC(C)=O)=CC=C1)O,NC1=NC=CC=N1,CC(=O)Nc1cccc(C(=O)Nc2ncccn2)c1,5,7,F8
O=C(C1=CC(NC(C)=O)=CC=C1)O,ClC1=CC=CC(N)=C1,CC(=O)Nc1cccc(C(=O)Nc2cccc(Cl)c2)c1,6,7,G8
O=C(C1=CC(NC(C)=O)=CC=C1)O,CC1=CC(N)=NO1,CC(=O)Nc1cccc(C(=O)Nc2cc(C)on2)c1,7,7,H8
O=C(O)C1=CC=C(Br)N=C1,NC1=NOC=C1,O=C(Nc1ccon1)c1ccc(Br)nc1,0,8,A9
O=C(O)C1=CC=C(Br)N=C1,FC1=CC=CC=C1N,O=C(Nc1ccccc1F)c1ccc(Br)nc1,1,8,B9
O=C(O)C1=CC=C(Br)N=C1,NC1=CN=CC=C1,O=C(Nc1cccnc1)c1ccc(Br)nc1,2,8,C9
O=C(O)C1=CC=C(Br)N=C1,NC1=NN=CC=C1,O=C(Nc1cccnn1)c1ccc(Br)nc1,3,8,D9
O=C(O)C1=CC=C(Br)N=C1,NC1=NC=CC=C1,O=C(Nc1ccccn1)c1ccc(Br)nc1,4,8,E9
O=C(O)C1=CC=C(Br)N=C1,NC1=NC=CC=N1,O=C(Nc1ncccn1)c1ccc(Br)nc1,5,8,F9
O=C(O)C1=CC=C(Br)N=C1,ClC1=CC=CC(N)=C1,O=C(Nc1cccc(Cl)c1)c1ccc(Br)nc1,6,8,G9
O=C(O)C1=CC=C(Br)N=C1,CC1=CC(N)=NO1,Cc1cc(NC(=O)c2ccc(Br)nc2)no1,7,8,H9
O=C(O)C1=C(C)C=CC(F)=C1,NC1=NOC=C1,Cc1ccc(F)cc1C(=O)Nc1ccon1,0,9,A10
O=C(O)C1=C(C)C=CC(F)=C1,FC1=CC=CC=C1N,Cc1ccc(F)cc1C(=O)Nc1ccccc1F,1,9,B10
O=C(O)C1=C(C)C=CC(F)=C1,NC1=CN=CC=C1,Cc1ccc(F)cc1C(=O)Nc1cccnc1,2,9,C10
O=C(O)C1=C(C)C=CC(F)=C1,NC1=NN=CC=C1,Cc1ccc(F)cc1C(=O)Nc1cccnn1,3,9,D10
O=C(O)C1=C(C)C=CC(F)=C1,NC1=NC=CC=C1,Cc1ccc(F)cc1C(=O)Nc1ccccn1,4,9,E10
O=C(O)C1=C(C)C=CC(F)=C1,NC1=NC=CC=N1,Cc1ccc(F)cc1C(=O)Nc1ncccn1,5,9,F10
O=C(O)C1=C(C)C=CC(F)=C1,ClC1=CC=CC(N)=C1,Cc1ccc(F)cc1C(=O)Nc1cccc(Cl)c1,6,9,G10
O=C(O)C1=C(C)C=CC(F)=C1,CC1=CC(N)=NO1,Cc1cc(NC(=O)c2cc(F)ccc2C)no1,7,9,H10
